feature,importance
mag_magnitude_max,0.35495225646959694
mag_z_min,0.13223016793631384
mag_x_min,0.12411884132845896
lin_acc_y_max,0.0388471394795936
gyro_yaw_std,0.032131534467245586
mag_x_mean,0.03162452877806723
lin_acc_z_std,0.024910656521080626
gyro_roll_min,0.02054790553511202
gyro_yaw_max,0.018478554013710145
mag_z_max,0.015122298178028576
mag_z_mean,0.01314739052848653
gyro_pitch_mean,0.012692289755165084
mag_x_max,0.011286440148854885
mag_y_max,0.010968762173907675
lin_acc_x_min,0.008001424783355228
lin_acc_x_mean,0.0077505222035558425
mag_z_std,0.007730185585707001
mag_magnitude_min,0.00728590083658958
mag_y_mean,0.0070811998387009375
gyro_yaw_min,0.006650870391891911
mag_magnitude_mean,0.0064512543436161165
mag_magnitude_std,0.006427780730029231
lin_acc_y_min,0.0061476001058681055
gyro_roll_std,0.006118888075626128
gyro_pitch_max,0.005869556961401801
lin_acc_x_max,0.005432284157569496
lin_acc_y_mean,0.005006397776370196
mag_x_std,0.0047906652673680794
gyro_pitch_min,0.004788552878017693
gravity_x_min,0.004711486259969388
mag_y_min,0.0044567747507223655
lin_acc_z_max,0.0035045681334936033
gravity_magnitude_max,0.003486912563289632
lin_acc_z_min,0.0034055765040955986
gyro_roll_max,0.003212208566498008
gyro_magnitude_min,0.002693923450199609
acc_magnitude_min,0.002632194053223863
mag_y_std,0.002587831092258033
gravity_y_max,0.0023763390581190915
gravity_magnitude_min,0.002181627276286099
gravity_x_std,0.002143930939007785
gyro_pitch_std,0.0019950366888956093
acc_magnitude_max,0.0017715444473711886
gyro_magnitude_mean,0.0016936592721798593
gravity_x_max,0.0016314123453337963
gyro_roll_mean,0.0015481150815783169
acc_magnitude_mean,0.0015010658611124801
lin_acc_y_std,0.0013724849310461746
gravity_y_min,0.0013651206462818902
gravity_magnitude_std,0.0013595661402192147
gyro_yaw_mean,0.0012877846478602652
lin_acc_x_std,0.0012872709872967028
gyro_magnitude_max,0.0012337951881229666
lin_acc_z_mean,0.0011587804207401208
gravity_y_mean,0.0010235087786125247
gravity_x_mean,0.0009991944759845353
gravity_y_std,0.0008588182039443367
gyro_magnitude_std,0.0007164392939014476
acc_magnitude_std,0.0006698902414629978
gravity_z_std,0.0006492259734607726
gravity_magnitude_mean,0.0005909273736443477
gravity_z_min,0.0005750351860384934
gravity_z_mean,0.00046071597159307476
acc_change,9.405452442521776e-05
gyro_change,9.044034122906324e-05
mag_change,6.679278377684695e-05
window_duration,1.4098297435539834e-05
gravity_z_max,0.0
